"","RAPiD Genomics Sample Code","Unique Client Code"
"422","VAC_155005_P005_WD01","CNJ12-56-58"
"423","VAC_155005_P005_WD02","CNJ12-56-73"
"424","VAC_155005_P005_WD03","CNJ12-56-108"
"425","VAC_155005_P005_WD04","CNJ12-56-124"
"426","VAC_155005_P005_WD05","CNJ12-56-142"
"427","VAC_155005_P005_WD06","CNJ12-56-154"
"428","VAC_155005_P005_WD07","CNJ12-56-179"
"429","VAC_155005_P005_WD08","CNJ12-56-192"
"430","VAC_155005_P005_WD09","CNJ08-233-43"
"431","VAC_155005_P005_WD10","CNJ12-58-12"
"432","VAC_155005_P005_WD11","CNJ12-58-23"
"433","VAC_155005_P005_WD12","CNJ12-58-31"
"434","VAC_155005_P005_WE01","CNJ12-56-59"
"435","VAC_155005_P005_WE02","CNJ08-233-71"
"436","VAC_155005_P005_WE03","CNJ08-233-21"
"437","VAC_155005_P005_WE04","CNJ12-56-129"
"438","VAC_155005_P005_WE05","CNJ12-56-143"
"439","VAC_155005_P005_WE06","CNJ12-56-155"
"440","VAC_155005_P005_WE07","CNJ08-233-37"
"441","VAC_155005_P005_WE08","CNJ12-56-195"
"442","VAC_155005_P005_WE09","CNJ12-58-03"
"443","VAC_155005_P005_WE10","CNJ12-58-13"
"444","VAC_155005_P005_WE11","CNJ12-58-24"
"445","VAC_155005_P005_WE12","CNJ12-58-32"
"446","VAC_155005_P005_WF01","CNJ08-233-64"
"447","VAC_155005_P005_WF02","CNJ12-56-77"
"448","VAC_155005_P005_WF03","CNJ08-233-23"
"449","VAC_155005_P005_WF04","CNJ12-56-130"
"450","VAC_155005_P005_WF05","CNJ12-56-144"
"451","VAC_155005_P005_WF06","CNJ08-233-32"
"452","VAC_155005_P005_WF07","CNJ12-56-185"
"453","VAC_155005_P005_WF08","CNJ12-56-196"
"454","VAC_155005_P005_WF09","CNJ12-58-04"
"455","VAC_155005_P005_WF10","CNJ12-58-15"
"456","VAC_155005_P005_WF11","CNJ12-58-25"
"457","VAC_155005_P005_WF12","CNJ12-58-33"
"458","VAC_155005_P005_WG01","CNJ08-233-73"
"459","VAC_155005_P005_WG02","CNJ12-56-85"
"460","VAC_155005_P005_WG03","CNJ12-56-113"
"461","VAC_155005_P005_WG04","CNJ08-233-31"
"462","VAC_155005_P005_WG05","CNJ12-56-145"
"463","VAC_155005_P005_WG06","CNJ12-56-161"
"464","VAC_155005_P005_WG07","CNJ12-56-186"
"465","VAC_155005_P005_WG08","CNJ12-56-197"
"466","VAC_155005_P005_WG09","CNJ12-58-05"
"467","VAC_155005_P005_WG10","CNJ12-58-16"
"468","VAC_155005_P005_WG11","CNJ12-58-26"
"470","VAC_155005_P005_WH01","CNJ12-56-67"
"471","VAC_155005_P005_WH02","CNJ08-233-19"
"472","VAC_155005_P005_WH03","CNJ08-233-51"
"473","VAC_155005_P005_WH04","CNJ12-56-135"
"474","VAC_155005_P005_WH05","CNJ12-56-147"
"475","VAC_155005_P005_WH06","CNJ12-56-162"
"476","VAC_155005_P005_WH07","CNJ12-56-188"
"477","VAC_155005_P005_WH08","CNJ08-233-74"
"478","VAC_155005_P005_WH09","CNJ12-58-07"
"479","VAC_155005_P005_WH10","CNJ12-58-17"
"480","VAC_155005_P005_WH11","CNJ12-58-27"
